005	4064    5760    1200
007	4064    5760    1100
008	4064    5760    1100
009	4064    5760    1000
010	4064    5760    1000
011	4064    5760    1300
012	4064    5760    1100
013	4064    5760    1100
015	4064    5760    1100
016	4064    5760    1100
017	4064    5760    1100
018	4064    5760    1300
019	4064    5760    1400
020	4064    5760    1300
023	4064    5760    1000
024	4064    5760    1100
025	4064    5760    1400
026	4064    5760    1200
027	4064    5760    1400
028	4064    5760    1000
029	4064    5760    1100
031	4064    5760    1300
032	4064    5760    1400
033	4064    5760    1000
035	4064    5760    1100
036	4064    5760    1000
037	4064    5760    1200
038	4064    5760     900
040	4064    5760    1024
041	4064    5760    1560
042	4064    5760    1584
043	4064    5760    1776
044	4064    5760    1200
045	4064    5760    1520
046	4064    5760    1040
047	4064    5760    1040
048	4064    5760    1280
049	4064    5760    1200
050	4064    5760    1040
051	4064    5760     960
053	4064    5760    1200
054	4064    5760    1000
055	4064    5760    1000
056	4064    5760    1000
057	4064    5760    1500
059	4064    5760    1100
060	4064    5760    1200
062	4064    5760    1000
063	4064    5760    1200
065	4064    5760    1300
066	4064    5760    1040
067	4064    5760    1840
068	4064    5760    1120
069	4064    5760     800
070	4064    5760     800
071	4064    5760     800
072	4064    5760    1100
073	4064    5760    1100
074	4064    5760    1000
075	4064    5760    1200
077	4064    5760     900
078	4064    5760    1000
079	4064    5760    1000
080	4064    5760    1100
082	4064    5760    1000
083	4064    5760    1300
084	4064    5760    1000
086	4064    5760    1300
087	4064    5760    1000
088	4064    5760    1000
089	4064    5760    1100
090	4064    5760    1300
091	4064    5760    1100
092	4064    5760    2400
093	4064    5760    1100
094	4064    5760    1100
095	4064    5760     900
097	4064    5760    1000
098	4064    5760    1100
099	4064    5760    1000
102	4064    5760    1100
103	4064    5760     900
104	4064    5760    1100
105	4064    5760    1000
106	4064    5760    1000
108	4064    5760    1100
109	4064    5760    1000
110	4064    5760    1100
111	4064    5760     950
112	4064    5760     750
113	4064    5760     850
114	4064    5760    1200
115	4064    5760    1100
116	4064    5760     900
117	4064    5760     950
118	4064    5760     950
119	4064    5760     920
120	4064    5760    1100
121	4064    5760    1000
122	4064    5760    1000
123	4064    5760    1100
124	4064    5760    1100
125	4064    5760    1100
126	4064    5760     900
127	4064    5760    1000
128	4064    5760     900
129	4064    5760     900
130	4064    5760    1000
132	4064    5760     960
133	4064    5760     920
134	4064    5760     900
135	4064    5760     960
136	4064    5760     920
137	4064    5760    1000
138	4064    5760    1200
139	4064    5760    1000
140	4064    5760    1300
141	4064    5760    1200
142	4064    5760     950
143	4064    5760    1000
144	4064    5760    1200
145	4064    5760    1040
146	4064    5760    1100
147	4064    5760     920
148	4064    5760     900
149	4064    5760     850
151	4064    5760    1200
152	4064    5760    1100
153	4064    5760    1100
154	4064    5760    1100
155	4064    5760    1100
156	4064    5760    1100
160	4064    5760     900
161	4064    5760    1100
162	4064    5760    1000
164	4064    5760    1100
165	4064    5760     900
166	4064    5760    1100
167	4064    5760    1000
169	4064    5760    1400
170	4064    5760    1200
171	4064    5760    1000
172	4064    5760    1000
173	4064    5760    1000
174	4064    5760    1100
200	4064    5760    1000
201	4064    5760    1100
202	4064    5760    1000
203	4064    5760    1700
204	4064    5760    1000
205	4064    5760    1000
206	4064    5760    1100
207	4064    5760    1000
208	4064    5760    1000
209	4064    5760    1300
210	4064    5760    1300
211	4064    5760    1000
212	4064    5760    1000
213	4064    5760    1800
214	4064    5760    1200
215	4064    5760    1200
216	4064    5760    1200
217	4064    5760    1300
218	4064    5760    1200
219	4064    5760    1100
220	4064    5760    1000
221	4064    5760    1200
222	4064    5760    1100
223	4064    5760    1300
224	4064    5760    1300
225	4064    5760    1100
226	4064    5760    1100
228	4064    5760    1100
229	4064    5760    1000
230	4064    5760    1400
231	4064    5760    1200
232	4064    5760    1400
233	4064    5760    1200
236	4064    5760    1000
237	4064    5760     800
240	4064    5760    1100
241	4064    5760    1000
242	4064    5760    1200
243	4064    5760     900
244	4064    5760    1000
245	4064    5760     900
246	4064    5760    1000
247	4064    5760    1000
248	4064    5760    1300
249	4064    5760    1200
250	4064    5760     900
251	4064    5760    1200
252	4064    5760    1300
253	4064    5760    1200
254	4064    5760    1000
255	4064    5760    1000
256	4064    5760    1000
